manufacturer,series,part_number,digikey_pn,capacitance_uF,voltage_V,tolerance,esr_ohm,tan_delta,lifetime_raw,lifetime_hours,lifetime_temp_C,op_temp_raw,op_temp_min_C,op_temp_max_C,ripple_120hz_A,ripple_hf_A,lead_spacing_mm,diameter_mm,height_mm,mounting,package,aec_q200,rohs,datasheet_url
Chemi-Con,GXM,EGXM421ELL101ML35S,565-EGXM421ELL101ML35S-ND,100.0,420,±20%,1.9894,0.15,5000 Hrs @ 125°C,5000,125,-40°C ~ 125°C,-40,125,0.73,0.225,7.5,16.0,37.0,Through Hole,"Radial, Can",False,True,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/GXMLL-e.PDF
Chemi-Con,KHE,EKHE421ELL101MK50S,565-EKHE421ELL101MK50S-ND,100.0,420,±20%,1.9894,0.15,2000 Hrs @ 105°C,2000,105,-40°C ~ 105°C,-40,105,0.75,1.125,5.0,12.5,52.0,Through Hole,"Radial, Can",False,True,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/KHELL-e.PDF
Chemi-Con,KHE,EKHE421ELL101MLN3S,565-EKHE421ELL101MLN3S-ND,100.0,420,±20%,1.9894,0.15,2000 Hrs @ 105°C,2000,105,-40°C ~ 105°C,-40,105,0.72,1.08,7.5,16.0,33.5,Through Hole,"Radial, Can",False,True,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/KHELL-e.PDF
Chemi-Con,KHE,EKHE421ELL101MU40S,565-EKHE421ELL101MU40S-ND,100.0,420,±20%,1.9894,0.15,2000 Hrs @ 105°C,2000,105,-40°C ~ 105°C,-40,105,0.74,1.11,7.5,14.5,42.0,Through Hole,"Radial, Can",False,True,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/KHELL-e.PDF
Chemi-Con,KHF,EKHF421ELL101MK40S,565-EKHF421ELL101MK40S-ND,100.0,420,±20%,1.9894,0.15,3000 Hrs @ 105°C,3000,105,-40°C ~ 105°C,-40,105,0.705,1.058,5.0,12.5,40.0,Through Hole,"Radial, Can",False,True,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/KHFLL-e.PDF
Chemi-Con,KHF,EKHF421ELL101MK45S,565-EKHF421ELL101MK45S-ND,100.0,420,±20%,1.9894,0.15,3000 Hrs @ 105°C,3000,105,-40°C ~ 105°C,-40,105,0.73,1.095,5.0,12.5,47.0,Through Hole,"Radial, Can",False,True,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/KHFLL-e.PDF
Chemi-Con,KHF,EKHF421ELL101MU35S,565-EKHF421ELL101MU35S-ND,100.0,420,±20%,1.9894,0.15,3000 Hrs @ 105°C,3000,105,-40°C ~ 105°C,-40,105,0.7,1.05,7.5,14.5,35.0,Through Hole,"Radial, Can",False,True,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/KHFLL-e.PDF
Chemi-Con,KMS,EKMS421VSN101MP25S,EKMS421VSN101MP25S-ND,100.0,420,±20%,1.9894,0.15,3000 Hrs @ 105°C,3000,105,-40°C ~ 105°C,-40,105,0.7,1.001,10.0,22.0,27.5,Through Hole,"Radial, Can - Snap-In",False,True,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/KMSN-e.PDF
Chemi-Con,KMT,EKMT421VSN101MP25S,EKMT421VSN101MP25S-ND,100.0,420,±20%,1.9894,0.15,3000 Hrs @ 105°C,3000,105,-25°C ~ 105°C,-25,105,0.89,1.273,10.0,22.0,27.5,Through Hole,"Radial, Can - Snap-In",False,True,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/KMTN-e.PDF
Chemi-Con,KRB,EKRB421VSN101MR35M,565-EKRB421VSN101MR35M-ND,100.0,420,±20%,1.9894,0.15,3000 Hrs @ 105°C,3000,105,-40°C ~ 105°C,-40,105,1.511,4.58,10.0,30.0,37.5,Through Hole,"Radial, Can - Snap-In",False,True,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6022/KRB%20Series.pdf
Chemi-Con,KWA,EKWA421ELL101MK50S,565-EKWA421ELL101MK50S-ND,100.0,420,±20%,1.9894,0.15,5000 Hrs @ 105°C,5000,105,-40°C ~ 105°C,-40,105,0.68,1.02,5.0,12.5,52.0,Through Hole,"Radial, Can",False,True,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/KWALL-e.PDF
