# Steinmetz core loss coefficients for powder toroids
"# Formula: P = a * B^b * f^c  (P mW/cm3, B Tesla, f kHz)"
"# Source: Magnetics Inc 2025 Powder Core Catalog, pages 108-109"
# Extracted: 2025-05-30
mu,a,b,c,Pv_100kHz_100mT_mWcm3
14,266.22,2.103,1.316,900.0
19,266.22,2.103,1.316,900.0
26,146.94,2.103,1.357,600.0
40,146.94,2.103,1.357,600.0
60,72.15,2.103,1.449,450.0
75,99.48,2.103,1.402,499.7
90,99.64,2.103,1.441,599.0
125,62.22,2.103,1.561,650.0
147,56.51,2.103,1.598,700.0
160,56.51,2.103,1.598,700.0
173,56.51,2.103,1.598,700.0
200,53.71,2.103,1.624,750.0
300,53.71,2.103,1.624,750.0
550,74.76,2.103,1.645,1149.9
