material_line,mu,part_number,OD_mm,ID_mm,HT_mm,Ae_mm2,Le_mm,Ve_cm3,Wa_mm2,Ap_mm4,AL_min_nH,AL_nom_nH,AL_max_nH,AL_tolerance_pct,MLT_0wf,MLT_20wf,MLT_25wf,MLT_30wf,MLT_35wf,MLT_40wf,MLT_45wf,MLT_50wf,MLT_60wf,MLT_70wf,wound_OD_40wf_mm,wound_HT_40wf_mm,wound_OD_max_mm,wound_HT_max_mm,SA_core_mm2,SA_40wf_mm2,awg_sl_min,awg_sl_max,awg_sl_count,awg_sl_turns_rdc,note,coated,coating_note,datasheet_url,data_source
Kool Mu,60,0077141A7,4.19,1.27,2.16,1.3,8.06,0.0105,1.3,2.0,12,13.0,14,8,7.2,7.6,7.7,7.7,7.8,7.9,8.0,8.1,8.3,8.5,4.3,2.6,5.0,2.7,60.0,70.0,30,49,17,AWG30:10T/0.0286ohm; AWG31:11T/0.0392ohm; AWG35:20T/0.172ohm; AWG36:23T/0.246ohm; AWG37:25T/0.328ohm; AWG38:28T/0.461ohm; AWG39:33T/0.704ohm; AWG40:38T/1.03ohm; AWG41:43T/1.42ohm; AWG42:49T/2.01ohm; AWG43:55T/2.91ohm; AWG44:59T/3.76ohm; AWG45:69T/5.65ohm; AWG46:76T/7.8ohm; AWG47:85T/11.0ohm; AWG48:98T/16.0ohm; AWG49:109T/22.2ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0077141A7.pdf,MagInc_2025_catalog
High Flux,60,C058141A2,4.19,1.27,2.16,1.3,8.06,0.0105,1.3,2.0,12,13.0,14,8,7.2,7.6,7.7,7.7,7.8,7.9,8.0,8.1,8.3,8.5,4.3,2.6,5.0,2.7,60.0,70.0,30,49,17,AWG30:10T/0.0286ohm; AWG31:11T/0.0392ohm; AWG35:20T/0.172ohm; AWG36:23T/0.246ohm; AWG37:25T/0.328ohm; AWG38:28T/0.461ohm; AWG39:33T/0.704ohm; AWG40:38T/1.03ohm; AWG41:43T/1.42ohm; AWG42:49T/2.01ohm; AWG43:55T/2.91ohm; AWG44:59T/3.76ohm; AWG45:69T/5.65ohm; AWG46:76T/7.8ohm; AWG47:85T/11.0ohm; AWG48:98T/16.0ohm; AWG49:109T/22.2ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/C058141A2.pdf,MagInc_2025_catalog
MPP,60,0055141A2,4.19,1.27,2.16,1.3,8.06,0.0105,1.3,2.0,12,13.0,14,8,7.2,7.6,7.7,7.7,7.8,7.9,8.0,8.1,8.3,8.5,4.3,2.6,5.0,2.7,60.0,70.0,30,49,17,AWG30:10T/0.0286ohm; AWG31:11T/0.0392ohm; AWG35:20T/0.172ohm; AWG36:23T/0.246ohm; AWG37:25T/0.328ohm; AWG38:28T/0.461ohm; AWG39:33T/0.704ohm; AWG40:38T/1.03ohm; AWG41:43T/1.42ohm; AWG42:49T/2.01ohm; AWG43:55T/2.91ohm; AWG44:59T/3.76ohm; AWG45:69T/5.65ohm; AWG46:76T/7.8ohm; AWG47:85T/11.0ohm; AWG48:98T/16.0ohm; AWG49:109T/22.2ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055141A2.pdf,MagInc_2025_catalog
Kool Mu,75,0077445A7,4.19,1.27,2.16,1.3,8.06,0.0105,1.3,2.0,15,16.0,17,8,7.2,7.6,7.7,7.7,7.8,7.9,8.0,8.1,8.3,8.5,4.3,2.6,5.0,2.7,60.0,70.0,30,49,17,AWG30:10T/0.0286ohm; AWG31:11T/0.0392ohm; AWG35:20T/0.172ohm; AWG36:23T/0.246ohm; AWG37:25T/0.328ohm; AWG38:28T/0.461ohm; AWG39:33T/0.704ohm; AWG40:38T/1.03ohm; AWG41:43T/1.42ohm; AWG42:49T/2.01ohm; AWG43:55T/2.91ohm; AWG44:59T/3.76ohm; AWG45:69T/5.65ohm; AWG46:76T/7.8ohm; AWG47:85T/11.0ohm; AWG48:98T/16.0ohm; AWG49:109T/22.2ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0077445A7.pdf,MagInc_2025_catalog
High Flux,75,0058445A2,4.19,1.27,2.16,1.3,8.06,0.0105,1.3,2.0,15,16.0,17,8,7.2,7.6,7.7,7.7,7.8,7.9,8.0,8.1,8.3,8.5,4.3,2.6,5.0,2.7,60.0,70.0,30,49,17,AWG30:10T/0.0286ohm; AWG31:11T/0.0392ohm; AWG35:20T/0.172ohm; AWG36:23T/0.246ohm; AWG37:25T/0.328ohm; AWG38:28T/0.461ohm; AWG39:33T/0.704ohm; AWG40:38T/1.03ohm; AWG41:43T/1.42ohm; AWG42:49T/2.01ohm; AWG43:55T/2.91ohm; AWG44:59T/3.76ohm; AWG45:69T/5.65ohm; AWG46:76T/7.8ohm; AWG47:85T/11.0ohm; AWG48:98T/16.0ohm; AWG49:109T/22.2ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0058445A2.pdf,MagInc_2025_catalog
MPP,75,0055445A2,4.19,1.27,2.16,1.3,8.06,0.0105,1.3,2.0,15,16.0,17,8,7.2,7.6,7.7,7.7,7.8,7.9,8.0,8.1,8.3,8.5,4.3,2.6,5.0,2.7,60.0,70.0,30,49,17,AWG30:10T/0.0286ohm; AWG31:11T/0.0392ohm; AWG35:20T/0.172ohm; AWG36:23T/0.246ohm; AWG37:25T/0.328ohm; AWG38:28T/0.461ohm; AWG39:33T/0.704ohm; AWG40:38T/1.03ohm; AWG41:43T/1.42ohm; AWG42:49T/2.01ohm; AWG43:55T/2.91ohm; AWG44:59T/3.76ohm; AWG45:69T/5.65ohm; AWG46:76T/7.8ohm; AWG47:85T/11.0ohm; AWG48:98T/16.0ohm; AWG49:109T/22.2ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055445A2.pdf,MagInc_2025_catalog
Kool Mu,90,0077444A7,4.19,1.27,2.16,1.3,8.06,0.0105,1.3,2.0,17,19.0,21,8,7.2,7.6,7.7,7.7,7.8,7.9,8.0,8.1,8.3,8.5,4.3,2.6,5.0,2.7,60.0,70.0,30,49,17,AWG30:10T/0.0286ohm; AWG31:11T/0.0392ohm; AWG35:20T/0.172ohm; AWG36:23T/0.246ohm; AWG37:25T/0.328ohm; AWG38:28T/0.461ohm; AWG39:33T/0.704ohm; AWG40:38T/1.03ohm; AWG41:43T/1.42ohm; AWG42:49T/2.01ohm; AWG43:55T/2.91ohm; AWG44:59T/3.76ohm; AWG45:69T/5.65ohm; AWG46:76T/7.8ohm; AWG47:85T/11.0ohm; AWG48:98T/16.0ohm; AWG49:109T/22.2ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0077444A7.pdf,MagInc_2025_catalog
High Flux,90,0058444A2,4.19,1.27,2.16,1.3,8.06,0.0105,1.3,2.0,17,19.0,21,8,7.2,7.6,7.7,7.7,7.8,7.9,8.0,8.1,8.3,8.5,4.3,2.6,5.0,2.7,60.0,70.0,30,49,17,AWG30:10T/0.0286ohm; AWG31:11T/0.0392ohm; AWG35:20T/0.172ohm; AWG36:23T/0.246ohm; AWG37:25T/0.328ohm; AWG38:28T/0.461ohm; AWG39:33T/0.704ohm; AWG40:38T/1.03ohm; AWG41:43T/1.42ohm; AWG42:49T/2.01ohm; AWG43:55T/2.91ohm; AWG44:59T/3.76ohm; AWG45:69T/5.65ohm; AWG46:76T/7.8ohm; AWG47:85T/11.0ohm; AWG48:98T/16.0ohm; AWG49:109T/22.2ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0058444A2.pdf,MagInc_2025_catalog
MPP,90,0055444A2,4.19,1.27,2.16,1.3,8.06,0.0105,1.3,2.0,17,19.0,21,8,7.2,7.6,7.7,7.7,7.8,7.9,8.0,8.1,8.3,8.5,4.3,2.6,5.0,2.7,60.0,70.0,30,49,17,AWG30:10T/0.0286ohm; AWG31:11T/0.0392ohm; AWG35:20T/0.172ohm; AWG36:23T/0.246ohm; AWG37:25T/0.328ohm; AWG38:28T/0.461ohm; AWG39:33T/0.704ohm; AWG40:38T/1.03ohm; AWG41:43T/1.42ohm; AWG42:49T/2.01ohm; AWG43:55T/2.91ohm; AWG44:59T/3.76ohm; AWG45:69T/5.65ohm; AWG46:76T/7.8ohm; AWG47:85T/11.0ohm; AWG48:98T/16.0ohm; AWG49:109T/22.2ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055444A2.pdf,MagInc_2025_catalog
Kool Mu,125,0077140A7,4.19,1.27,2.16,1.3,8.06,0.0105,1.3,2.0,24,26.0,28,8,7.2,7.6,7.7,7.7,7.8,7.9,8.0,8.1,8.3,8.5,4.3,2.6,5.0,2.7,60.0,70.0,30,49,17,AWG30:10T/0.0286ohm; AWG31:11T/0.0392ohm; AWG35:20T/0.172ohm; AWG36:23T/0.246ohm; AWG37:25T/0.328ohm; AWG38:28T/0.461ohm; AWG39:33T/0.704ohm; AWG40:38T/1.03ohm; AWG41:43T/1.42ohm; AWG42:49T/2.01ohm; AWG43:55T/2.91ohm; AWG44:59T/3.76ohm; AWG45:69T/5.65ohm; AWG46:76T/7.8ohm; AWG47:85T/11.0ohm; AWG48:98T/16.0ohm; AWG49:109T/22.2ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0077140A7.pdf,MagInc_2025_catalog
