shape,part_number,Ae_mm2,Le_mm,Ve_mm3,Wa_mm2,MLT_mm,OD_mm,ID_mm,HT_mm,max_height_mm,Ve_cm3,bobbin_part,bobbin_type,bobbin_creepage_mm,note
ETD,B66317G0000X187,97,78,7600,89,60,34,19.6,35,35,7.6,B66317,standard,9,"TDK ETD34"
ETD,B66329G0000X187,125,92,11500,120,69,39,24.5,40,40,11.5,B66329,standard,10,"TDK ETD39"
ETD,B66338G0000X187,173,103,17800,144,79,44,29.1,46,46,17.8,B66338,standard,11,"TDK ETD44"
ETD,B66349G0000X187,211,114,24100,178,100,49,33.8,50,50,24.1,B66349,standard,10,"TDK ETD49"
ETD,B66353G0000X187,280,127,35500,222,108,54,37.7,55,55,35.5,B66353,standard,12,"TDK ETD54"
ETD,B66359G0000X187,368,139,51300,280,120,59,43.0,63,63,51.3,B66359,standard,10,"TDK ETD59"
ETD,B66359G0500X187,368,139,51300,280,120,59,43.0,63,63,51.3,B66359E,extended,14,"TDK ETD59 extended flange Medical"
ETD,B66374G0000X187,520,178,92600,459,148,74,54.0,77,77,92.6,B66374,standard,14,"TDK ETD74"
EE,B65811J0000R087,52,59,3060,53,47,25,13.0,7,25,3.06,,standard,8,"TDK EE25/13/7"
EE,B65814J0000R087,353,124,43800,280,115,55,28.0,21,55,43.8,,standard,12,"TDK EE55/28/21"
EE,B65816J0000R087,360,154,55500,277,118,70,33.0,32,70,55.5,,standard,13,"TDK EE70/33/32"
RM,B65501J0000R087,24.6,24,590,25,30,16,0,12,15,0.59,,standard,6,"TDK RM5"
RM,B65502J0000R087,36.0,28,1010,37,35,20,0,14,18,1.01,,standard,7,"TDK RM6"
RM,B65503J0000R087,40.1,34,1360,52,38,22,0,16,20,1.36,,standard,7,"TDK RM7"
RM,B65504J0000R087,40.0,36,1430,38,34,22,0,23,23,1.43,,standard,7,"TDK RM8"
RM,B65505J0000R087,60.0,44,2640,56,40,28,0,29,29,2.64,,standard,8,"TDK RM10"
RM,B65506J0000R087,98.0,59,5790,90,49,35,0,37,37,5.79,,standard,9,"TDK RM12"
RM,B65507J0000R087,131,58,7570,133,53,40,0,40,40,7.57,,standard,10,"TDK RM14"
PQ,B65521J0000R087,62,37,2280,48,51,20,10,16,20,2.28,,standard,7,"TDK PQ20/16"
PQ,B65522J0000R087,62,47,2900,70,54,20,10,20,22,2.9,,standard,7,"TDK PQ20/20"
PQ,B65523J0000R087,120,57,6840,116,66,26,13,20,24,6.84,,standard,8,"TDK PQ26/20"
PQ,B65524J0000R087,120,72,8620,140,70,26,13,25,29,8.62,,standard,8,"TDK PQ26/25"
PQ,B65525J0000R087,152,63,9580,154,78,32,16,20,25,9.58,,standard,9,"TDK PQ32/20"
PQ,B65526J0000R087,152,94,14300,177,84,32,16,30,35,14.3,,standard,9,"TDK PQ32/30"
PQ,B65527J0000R087,201,116,23300,225,92,40,20,40,46,23.3,,standard,10,"TDK PQ40/40"
