parts_unblocked,manufacturer,series,datasheet_url,example_parts
139,Yageo,SP,https://yageogroup.com/content/datasheet/asset/file/CPC_NTC_SP,"N10SP002L, N10SP002L-F, N10SP002M, N10SP002M-F"
99,Yageo,NT,https://yageogroup.com/content/datasheet/asset/file/CPC_NTC_NT,"NTE05-002L, NTE05-002LF, NTE05-002M, NTE05-002MF"
67,Cantherm,MF72,https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,"MF72-002.5D11, MF72-002.5D13, MF72-003D11, MF72-003D13"
60,Vishay Ametherm,SURGE-GARD™,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/536/SURGE-GARD_Series_Web.pdf,"SG110, SG302, SG355, SG420"
36,Semitec USA Corp,D2,https://www.semitec-global.com/uploads/2022/01/P26-27-Power-thermistor.pdf,"2D2-10LC, 2D2-10LCS, 3D2-22LC, 5D2-05LC"
35,Amphenol Advanced Sensors (Thermometrics),CL,https://www.amphenol-sensors.com/hubfs/Documents/AAS-920-325D-Thermometrics-NTC-Inrush-031814-web.pdf?option=com_edocman&task=document.download&id=90,"CL-30, CL-30A, CL-30B, CL-150"
31,TDK,S236,https://product.tdk.com/system/files/dam/doc/product/protection/current/ntc-limiter/data_sheet/50/db/icl_16/s236.pdf,"B57236S0229M000, B57236S0229M051, B57236S229M, B57236S0259M000"
21,TDK,S237,https://www.tdk-electronics.tdk.com/inf/50/db/icl_16/S237.pdf,"B57237S0229M000, B57237S0229M051, B57237S229M54, B57237S0259M000"
16,Bourns Inc.,BN-LG10Y,http://www.bourns.com/docs/Product-Datasheets/BN-LG10Y.pdf,"BN-LG10Y2R0MYB, BN-LG10Y2R5MYB, BN-LG10Y3R0MYB, BN-LG10Y4R0MYB"
16,Bourns Inc.,BN-LG13Y,http://www.bourns.com/docs/Product-Datasheets/BN-LG13Y.pdf,"BN-LG13Y2R0MYB, BN-LG13Y2R5MYB, BN-LG13Y3R0MYB, BN-LG13Y4R0MYB"
16,Bourns Inc.,BN-LG15Y,http://www.bourns.com/docs/Product-Datasheets/BN-LG15Y.pdf,"BN-LG15Y2R0MYB, BN-LG15Y2R5MYB, BN-LG15Y3R0MYB, BN-LG15Y4R0MYB"
16,Bourns Inc.,BN-LG20Y,http://www.bourns.com/docs/Product-Datasheets/BN-LG20Y.pdf,"BN-LG20Y2R0MYB, BN-LG20Y2R2MYB, BN-LG20Y2R5MYB, BN-LG20Y3R0MYB"
15,TDK,S234,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6155/B57234S0yyyM000.pdf,"B57234S0229M000, B57234S0229M051, B57234S0259M000, B57234S0259M051"
15,TDK,S153,https://product.tdk.com/system/files/dam/doc/product/protection/current/ntc-limiter/data_sheet/50/db/icl_16/s153.pdf,"B57153S0479M000, B57153S0479M051, B57153S479M54, B57153S0809M000"
14,TDK,P11,https://product.tdk.com/system/files/dam/doc/product/protection/current/ntc-limiter/data_sheet/50/db/icl_16/p11.pdf,"B57211P0259M301, B57211P0259M351, B57211P0409M301, B57211P0409M351"
13,Bourns Inc.,BN-LG25Y,http://www.bourns.com/docs/Product-Datasheets/BN-LG25Y.pdf,"BN-LG25Y2R0MYB, BN-LG25Y2R5MYB, BN-LG25Y3R0MYB, BN-LG25Y4R0MYB"
