parts_unblocked,manufacturer,series,datasheet_url,example_parts
108,YAGEO,14H,https://yageogroup.com/content/datasheet/asset/file/14H_1,"471KH14-P10, 471KH14, 471KH14-F, 471KH14-O"
86,YAGEO,14D,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/8932/14D_1.pdf,"471KD14-TR, 471KD14, 471KD14-P10, 471KD14-F"
81,Littelfuse Inc.,C-III; LT,https://www.littelfuse.com/assetdocs/varistors-c-iii-datasheet?assetguid=39cf43c8-153a-4f48-b2c1-03b4a0166100,"V300LA10CP, V300LS10CP, V300LT10CP, V300LU10CP"
60,Littelfuse Inc.,UltraMOV™,https://www.littelfuse.com/assetdocs/littelfuse_varistor_ultramov_datasheet.pdf?assetguid=00498970-451b-4e23-a419-f1ff8625d2a0,"V10E300P, V10E300PL1T, V10E300PL2T7, V10E300PL2B7"
40,Littelfuse Inc.,HMOV™; HMOV™ Varistor; UltraMOV™,https://www.littelfuse.com/assetdocs/littelfuse-varistors-hmov-datasheet?assetguid=19712a7a-9371-4973-bba5-3501b24e1529,"V10H300P, V10H300PL2B, V10H300PL1T, V10H300PL2T"
38,TDK,"AdvanceD; AdvanceD MP; AdvanceD-MP, S14; StandarD",https://product.tdk.com/en/system/files/dam/doc/product/protection/voltage/lead-disk-varistor/data_sheet/70/db/var/siov_snf_automotive.pdf,"B72210S2301K362, B72210S2301K351, B72210S2301K502, B72210S2301K371"
37,Littelfuse Inc.,AUMOV®; LA; LC; LS; LT; LU,https://www.littelfuse.com/assetdocs/littelfuse-varistor-la-datasheet?assetguid=f7c547ce-c2fa-4789-86cc-ec39a5060afb,"V300LC20AP, V300LS20AP, V300LT20AP, V300LS20APX2855"
31,Littelfuse Inc.,TMOV®; iTMOV®,https://www.littelfuse.com/assetdocs/tmov-itmov?assetguid=bd475732-1071-4352-b8aa-f78b0007eb05,"TMOV14RP300E, TMOV14RP300EL2T7, TMOV14RP300EL3T7, TMOV14RP300ML2B7"
22,TDK,StandarD,https://www.tdk-electronics.tdk.com/inf/70/db/var/SIOV_Leaded_StandarD.pdf?ref_disty=digikey,"B72214S0301K101, B72214S0301K502, B72214S0301K151, B72214S0301K551"
16,Littelfuse Inc.,Xtreme Varistor,https://www.littelfuse.com/assetdocs/littelfuse_varistor_xtreme_datasheet.pdf?assetguid=644323ff-c45d-4c6a-8e5e-9cfa0dce088b,"V10X300E, V11X300E, V14X300E, V20X300E"
16,Vishay Beyschlag/Draloric/BC Components,VDRH,https://www.vishay.com/docs/29082/vdrh.pdf,"VDRH10S300BSE, VDRH10S300TLE, VDRH10S300TME, VDRH10S300TSE"
15,TDK,AdvanceD,https://www.tdk-electronics.tdk.com/inf/70/db/var/SIOV_Leaded_AdvanceD.pdf?ref_disty=digikey,"B72210S2301K131, B72210S2301K162, B72210S2301K503, B72210S2301K361"
15,Eaton - Electronics Division,MOVHE,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-movhe-radial-leaded-metal-oxide-varistor-data-sheet-elx1288-en.pdf,"MOVHE10V300Y, MOVHE10V300Y-AP, MOVHE14V300Y, MOVHE14V300Y-AP"
13,Littelfuse Inc.,LV UltraMOV™; UltraMOV®; UltraMOV™,https://www.littelfuse.com/assetdocs/varistors-ultramov-datasheet?assetguid=00498970-451b-4e23-a419-f1ff8625d2a0,"V10E300PL4B, V10E300PL2A5X2855, V14E300PL1B1, V20E300PL1B7"
12,Littelfuse Inc.,LA; UltraMOV™,https://electronicscatalogs.littelfuse.com/data/lsb20flx/011/html/export/Smart%20Building%20Application%20Guide.pdf,"V300LA20APX2855, V300LA40APX10, V300LA40APX2855, V320LA20APX1347"
12,Bourns Inc.,MOV-20DxxxK,https://www.bourns.com/docs/Product-Datasheets/MOV20D.pdf,"MOV-20D471K, MOV-20D471KTR, MOV-20D471KKTR, MOV-20D471KK"
12,Littelfuse Inc.,TMOV® 34S,https://www.littelfuse.com/assetdocs/littelfuse-varistor-tmov34s-datasheet?assetguid=ce0d381a-032d-423d-8ee3-e628e8a31fea,"TMOV34S301EP, TMOV34S301MP, TMOV34S301MPX2696, TMOV34S321MP"
10,Thinking Electronics Industrial Co.,TVR; TVR-D; TVR-V,https://www.thinking.com.tw/upload/product/files/en-Metal%20Oxide%20Varistor-TVR%20Series.pdf,"TVR10471KSV, TVR10471KSW, TVR14471KSY, TVR20471KSY"
10,Vishay Beyschlag/Draloric/BC Components,VDRUS,https://www.vishay.com/docs/29185/vdrus.pdf,"VDRUS10T300BSE, VDRUS14X300BKE, VDRUS14X300BSE, VDRUS20Z300BSE"
10,Littelfuse Inc.,AUMOV®; AUMOV™,https://www.littelfuse.com/assetdocs/varistors-aumov-datasheet?assetguid=bb63149a-3c1e-4608-8360-71453fc92229,"V20H300AUTO, V10H300AUTO, V14H300AUTO, V20H300AUTOL1A"
9,TDK,AdvanceD MP,https://product.tdk.com/system/files/dam/doc/product/protection/voltage/lead-disk-varistor/data_sheet/70/db/var/siov_leaded_advanced_mp_10mm.pdf,"B72210P2301K151, B72210P2301K502, B72210P2301K302, B72210P2301K691"
9,Littelfuse Inc.,AUMOV®; AUMOV™,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7179/littelfusevaristoraumovdatasheetpdf.pdf,"V10H300AUTO3T, V14H300AUTO2T, V14H300AUTO1T, V14H300AUTO3T"
