parts_unblocked,manufacturer,series,datasheet_url,example_parts
13,Littelfuse Inc.,,https://www.littelfuse.com/assetdocs/gas-discharge-tubes-catalog-datasheet?assetguid=c9b13951-4883-4b86-9e9c-0202081911ff,"GTCA28-601L-R05, GTCA28-601M-R05, GTCS35-601M-R05-2, GTCA26-601M-R05"
8,YAGEO,,https://yageogroup.com/content/datasheet/asset/file/2R-8x6_1,"2RM600L-8/TR, 2RM600L-8/B, 2RP600L-8/TR, 2RP600L-8/B"
6,YAGEO,,https://yageogroup.com/content/datasheet/asset/file/2R-8x6-S_1,"2RM600M-8-S, 2RP600M-8-S, 2RM800M-8-S, 2RP800M-8-S"
4,Bourns Inc.,,https://www.bourns.com/docs/Product-Datasheets/2026.pdf,"2026-60-C2LF, 2026-60-C4LF, 2026-60-C3LF, 2026-60-CLF"
4,Bourns Inc.,,https://www.bourns.com/docs/product-datasheets/GDT216E.pdf,"GDT216E-60-T2-BX, GDT216E-60-T1-BX, GDT216E-80-T2-BX, GDT216E-80-T1-BX"
4,Bourns Inc.,,https://www.bourns.com/docs/Product-Datasheets/2095.pdf,"2095-80-BLF, 2095-80-BT1LF, 2095-100-BLF, 2095-100-BT1LF"
3,YAGEO,,https://yageogroup.com/content/datasheet/asset/file/2R-4_1,"2RK600M-4, 2RK800M-4, 2RK1000M-4"
3,YAGEO,,https://yageogroup.com/content/datasheet/asset/file/2R-6_1,"2RL600M-6, 2RL800M-6, 2RK1000M-6"
3,Bourns Inc.,,https://www.bourns.com/docs/Product-Datasheets/2027.pdf,"2027-60-BLF, 2027-60-BT1LF, 2027-60-B10LF"
3,Bourns Inc.,,https://www.bourns.com/docs/Product-Datasheets/2036.pdf,"2036-60-B2LF, 2036-60-BLF, 2036-60-B3LF"
3,Shenzhen Ruilongyuan Electronics Co.Ltd,,https://www.ruilon.com/openpdf/pdf/web/viewer.html?file=https://www.ruilon.com/Uploads/pdf/2rb-8s%20series.pdf,"2R600B-8S, 2R800B-8S, 2R1000B-8S"
3,Shenzhen Ruilongyuan Electronics Co.Ltd,,https://www.ruilon.com.cn/Uploads/pdf/131-2rt-8t2%20series.pdf,"2R600TB-8T2, 2R600SB-8T2, 2R800TB-8T2"
3,Shenzhen Ruilongyuan Electronics Co.Ltd,,https://www.ruilon.com/openpdf/pdf/web/viewer.html?file=https://www.ruilon.com/Uploads/pdf/2rd-8s%20series.pdf,"2R600D-8S, 2R800D-8S, 2R1000D-8S"
3,Bourns Inc.,,https://www.bourns.com/docs/product-datasheets/gdt28h.pdf,"GDT28H-100-BRP, GDT28H-100-B, GDT28H-100-A"
2,Shenzhen Ruilongyuan Electronics Co.Ltd,,https://www.ruilon.com/openpdf/pdf/web/viewer.html?file=https://www.ruilon.com/Uploads/pdf/smd4042%20series.pdf,"SMD4042-600E, SMD4042-800E"
2,YAGEO,,https://yageogroup.com/content/datasheet/asset/file/BK1_1,"BK12003002, BK12003502"
2,Bourns Inc.,,https://www.bourns.com/docs/Product-Datasheets/2035-xx-SM.pdf,"2035-60-SM-RPLF, 2035-60-SMLF"
2,Bourns Inc.,,https://www.bourns.com/docs/Product-Datasheets/203537.pdf,"2035-60-BLF, 2035-60-BT1LF"
2,Bourns Inc.,,https://www.bourns.com/docs/Product-Datasheets/2056.pdf,"2056-60-B2LF, 2056-60-B3LF"
2,Bourns Inc.,,https://www.bourns.com/docs/Product-Datasheets/2052.pdf,"2052-60-SM-RPLF, 2052-80-SM-RPLF"
2,Shenzhen Ruilongyuan Electronics Co.Ltd,,https://www.ruilon.com.cn/Uploads/pdf/22-3ra-5ss%20series.pdf,"3R600A-5SS, 3R800A-5SS"
2,Shenzhen Ruilongyuan Electronics Co.Ltd,,https://www.ruilon.com/openpdf/pdf/web/viewer.html?file=https://www.ruilon.com/Uploads/pdf/2ra-5%20series.pdf,"2R600TA-5, 2R800TA-5"
2,TDK,,https://www.tdk-electronics.tdk.com/inf/100/ds/EF600X-X6461xxxx.pdf,"B88069X6461T502, B88069X6461S102"
2,YAGEO,,https://yageogroup.com/content/datasheet/asset/file/2R-5_1,"2RL600L-5/B, 2RL600L-5/TR"
